# NexusSec - fonti dei tool (link attivi e funzionanti)
# Generato da build/nxs-sources-check.py - NON modificare a mano.
# Tool totali: 433   Rotti: 0
#
# TOOL                    STATO  METODO    FONTE
metagoofil              OK     git       https://github.com/opsdisk/metagoofil.git
metasploit              OK     container docker.io/metasploitframework/metasploit-framework:latest
mimikatz                OK     kali      kali-rolling apt:mimikatz
minicom                 OK     kali      kali-rolling apt:minicom
miredo                  OK     kali      kali-rolling apt:miredo
missidentify            OK     kali      kali-rolling apt:missidentify
mitmproxy               OK     apk       apk:mitmproxy
msfpc                   OK     kali      kali-rolling apt:msfpc
msgsnarf                OK     kali      kali-rolling apt:dsniff
multimon-ng             OK     kali      kali-rolling apt:multimon-ng
myrescue                OK     kali      kali-rolling apt:myrescue
naabu                   OK     apk       apk:naabu
nasm                    OK     kali      kali-rolling apt:nasm
nasty                   OK     kali      kali-rolling apt:nasty
nbtscan                 OK     apk       apk:nbtscan
ncat                    OK     apk       apk:nmap-ncat
ncrack                  OK     kali      kali-rolling apt:ncrack
netcat                  OK     apk       apk:netcat-openbsd
netdiscover             OK     apk       apk:netdiscover
netexec                 OK     container docker.io/parrotsec/netexec:latest
netmask                 OK     kali      kali-rolling apt:netmask
netsniff-ng             OK     kali      kali-rolling apt:netsniff-ng
ngrep                   OK     apk       apk:ngrep
nikto                   OK     apk       apk:nikto
nishang                 OK     kali      kali-rolling apt:nishang
nmap                    OK     apk       apk:nmap
nuclei                  OK     apk       apk:nuclei
oclgausscrack           OK     kali      kali-rolling apt:oclgausscrack
ohrwurm                 OK     kali      kali-rolling apt:ohrwurm
ollydbg                 OK     kali      kali-rolling apt:ollydbg
onesixtyone             OK     kali      kali-rolling apt:onesixtyone
ophcrack                OK     kali      kali-rolling apt:ophcrack-cli
oscanner                OK     kali      kali-rolling apt:oscanner
owasp-mantra-ff         OK     kali      kali-rolling apt:owasp-mantra-ff
p0f                     OK     kali      kali-rolling apt:p0f
pack                    OK     kali      kali-rolling apt:pack
pack2                   OK     kali      kali-rolling apt:pack2
padbuster               OK     kali      kali-rolling apt:padbuster
paros                   OK     kali      kali-rolling apt:paros
parsero                 OK     kali      kali-rolling apt:parsero
parted                  OK     kali      kali-rolling apt:parted
pasco                   OK     kali      kali-rolling apt:pasco
passing-the-hash        OK     kali      kali-rolling apt:passing-the-hash
patator                 OK     kali      kali-rolling apt:patator
pdf-parser              OK     kali      kali-rolling apt:pdf-parser
pdfcrack                OK     apk       apk:pdfcrack
pdfid                   OK     kali      kali-rolling apt:pdfid
peass                   OK     kali      kali-rolling apt:peass
pev                     OK     apk       apk:pev
photon                  OK     kali      kali-rolling apt:photon
pipal                   OK     kali      kali-rolling apt:pipal
pixiewps                OK     apk       apk:pixiewps
polenum                 OK     kali      kali-rolling apt:polenum
powersploit             OK     kali      kali-rolling apt:powersploit
protos-sip              OK     kali      kali-rolling apt:protos-sip
proxmark3               OK     kali      kali-rolling apt:proxmark3
proxychains-ng          OK     apk       apk:proxychains-ng
proxychains4            OK     kali      kali-rolling apt:proxychains4
proxytunnel             OK     kali      kali-rolling apt:proxytunnel
pst-utils               OK     kali      kali-rolling apt:pst-utils
ptunnel                 OK     kali      kali-rolling apt:ptunnel
pupy                    OK     pip       git+https://github.com/n1nj4sec/pupy.git   (pip da git)
pwnat                   OK     kali      kali-rolling apt:pwnat
qsslcaudit              OK     kali      kali-rolling apt:qsslcaudit
radare2                 OK     apk       apk:radare2
rainbowcrack            OK     kali      kali-rolling apt:rainbowcrack
rarcrack                OK     kali      kali-rolling apt:rarcrack
rcracki-mt              OK     kali      kali-rolling apt:rcracki-mt
readpe                  OK     kali      kali-rolling apt:readpe
reaver                  OK     kali      kali-rolling apt:reaver
rebind                  OK     kali      kali-rolling apt:rebind
recon-ng                OK     apk       apk:recon-ng
recordmydesktop         OK     kali      kali-rolling apt:recordmydesktop
recoverdm               OK     kali      kali-rolling apt:recoverdm
recoverjpeg             OK     kali      kali-rolling apt:recoverjpeg
redfang                 OK     kali      kali-rolling apt:redfang
redsocks                OK     kali      kali-rolling apt:redsocks
reglookup               OK     kali      kali-rolling apt:reglookup
regripper               OK     kali      kali-rolling apt:regripper
rephrase                OK     kali      kali-rolling apt:rephrase
responder               OK     apk       apk:responder
